Date,mp_id,rc_id,Actual_Revenue,Forecasted_Revenue
2024-04-01,0,7,0.0,766.8875343809349
2024-04-02,0,7,35.0,766.8875343809349
2024-04-03,0,7,70.0,766.8875343809349
2024-04-04,0,7,145.0,766.8875343809349
2024-04-05,0,7,175.0,766.8875343809349
2024-04-06,0,7,280.0,766.8875343809349
2024-04-07,0,7,420.0,766.8875343809349
2024-04-08,0,7,480.0,766.8875343809349
2024-04-09,0,7,65.0,766.8875343809349
2024-04-10,0,7,105.0,766.8875343809349
2024-04-11,0,7,0.0,766.8875343809349
2024-04-12,0,7,140.0,766.8875343809349
2024-04-13,0,7,260.0,766.8875343809349
2024-04-14,0,7,285.0,766.8875343809349
2024-04-15,0,7,395.0,766.8875343809349
2024-04-16,0,7,105.0,766.8875343809349
2024-04-17,0,7,565.0,766.8875343809349
2024-04-18,0,7,70.0,766.8875343809349
2024-04-19,0,7,130.0,766.8875343809349
2024-04-20,0,7,240.0,766.8875343809349
2024-04-21,0,7,571.875,766.8875343809349
2024-04-22,0,7,571.875,766.8875343809349
2024-04-23,0,7,515.0,766.8875343809349
2024-04-24,0,7,70.0,766.8875343809349
2024-04-25,0,7,175.0,766.8875343809349
2024-04-26,0,7,90.0,766.8875343809349
2024-04-27,0,7,310.0,766.8875343809349
2024-04-28,0,7,20.0,766.8875343809349
2024-04-29,0,7,55.0,766.8875343809349
2024-04-30,0,7,235.0,766.8875343809349
2024-04-01,1,0,733.0,2303.8039827834446
2024-04-02,1,0,1610.0,2303.8039827834446
2024-04-03,1,0,1957.0,2303.8039827834446
2024-04-04,1,0,2338.25,2303.8039827834446
2024-04-05,1,0,1877.5,2303.8039827834446
2024-04-06,1,0,771.0,2303.8039827834446
2024-04-07,1,0,1663.0,2303.8039827834446
2024-04-08,1,0,2069.0,2303.8039827834446
2024-04-09,1,0,1299.0,2303.8039827834446
2024-04-10,1,0,1383.0,2303.8039827834446
2024-04-11,1,0,3015.0,2303.8039827834446
2024-04-12,1,0,2756.5,2303.8039827834446
2024-04-13,1,0,1913.0,2303.8039827834446
2024-04-14,1,0,1903.0,2303.8039827834446
2024-04-15,1,0,2630.2,2303.8039827834446
2024-04-16,1,0,5801.875,2303.8039827834446
2024-04-17,1,0,2320.0,2303.8039827834446
2024-04-18,1,0,3853.0,2303.8039827834446
2024-04-19,1,0,3481.5,2303.8039827834446
2024-04-20,1,0,1782.7,2303.8039827834446
2024-04-21,1,0,4640.4,2303.8039827834446
2024-04-22,1,0,2032.9,2303.8039827834446
2024-04-23,1,0,3090.5,2303.8039827834446
2024-04-24,1,0,2461.5,2303.8039827834446
2024-04-25,1,0,4597.9,2303.8039827834446
2024-04-26,1,0,2840.0,2303.8039827834446
2024-04-27,1,0,3199.0,2303.8039827834446
2024-04-28,1,0,2368.0,2303.8039827834446
2024-04-29,1,0,2149.5,2303.8039827834446
2024-04-30,1,0,2503.0,2303.8039827834446
2024-04-01,1,1,0.0,1127.3193065361627
2024-04-02,1,1,0.0,1127.3193065361627
2024-04-03,1,1,365.5,1127.3193065361627
2024-04-04,1,1,30.0,1127.3193065361627
2024-04-05,1,1,90.0,1127.3193065361627
2024-04-06,1,1,0.0,1127.3193065361627
2024-04-07,1,1,0.0,1127.3193065361627
2024-04-08,1,1,0.0,1127.3193065361627
2024-04-09,1,1,128.0,1127.3193065361627
2024-04-10,1,1,35.0,1127.3193065361627
2024-04-11,1,1,417.0,1127.3193065361627
2024-04-12,1,1,225.0,1127.3193065361627
2024-04-13,1,1,51.0,1127.3193065361627
2024-04-14,1,1,260.0,1127.3193065361627
2024-04-15,1,1,137.0,1127.3193065361627
2024-04-16,1,1,827.0,1127.3193065361627
2024-04-17,1,1,973.5,1127.3193065361627
2024-04-18,1,1,508.0,1127.3193065361627
2024-04-19,1,1,400.0,1127.3193065361627
2024-04-20,1,1,665.0,1127.3193065361627
2024-04-21,1,1,507.5,1127.3193065361627
2024-04-22,1,1,603.0,1127.3193065361627
2024-04-23,1,1,45.0,1127.3193065361627
2024-04-24,1,1,141.0,1127.3193065361627
2024-04-25,1,1,494.5,1127.3193065361627
2024-04-26,1,1,295.0,1127.3193065361627
2024-04-27,1,1,1049.0,1127.3193065361627
2024-04-28,1,1,1028.0,1127.3193065361627
2024-04-29,1,1,468.0,1127.3193065361627
2024-04-30,1,1,331.5,1127.3193065361627
2024-04-01,1,2,7216.55,7256.462634268942
2024-04-02,1,2,7638.05,7256.462634268942
2024-04-03,1,2,4937.7,7256.462634268942
2024-04-04,1,2,5038.4,7256.462634268942
2024-04-05,1,2,3384.7,7256.462634268942
2024-04-06,1,2,9163.1,7256.462634268942
2024-04-07,1,2,7770.9,7256.462634268942
2024-04-08,1,2,3225.4,7256.462634268942
2024-04-09,1,2,6793.8,7256.462634268942
2024-04-10,1,2,4407.6,7256.462634268942
2024-04-11,1,2,7377.45,7256.462634268942
2024-04-12,1,2,5459.0,7256.462634268942
2024-04-13,1,2,5872.8,7256.462634268942
2024-04-14,1,2,8675.5,7256.462634268942
2024-04-15,1,2,8049.5,7256.462634268942
2024-04-16,1,2,16875.75,7256.462634268942
2024-04-17,1,2,13089.5,7256.462634268942
2024-04-18,1,2,9790.3,7256.462634268942
2024-04-19,1,2,9885.5,7256.462634268942
2024-04-20,1,2,11882.25,7256.462634268942
2024-04-21,1,2,7078.5,7256.462634268942
2024-04-22,1,2,6842.8,7256.462634268942
2024-04-23,1,2,8698.7,7256.462634268942
2024-04-24,1,2,6305.4,7256.462634268942
2024-04-25,1,2,13528.5,7256.462634268942
2024-04-26,1,2,11858.45,7256.462634268942
2024-04-27,1,2,13293.5,7256.462634268942
2024-04-28,1,2,8366.35,7256.462634268942
2024-04-29,1,2,10634.2,7256.462634268942
2024-04-30,1,2,9306.5,7256.462634268942
2024-04-01,1,3,21506.5375,11955.36261905106
2024-04-02,1,3,9960.0,11955.36261905106
2024-04-03,1,3,21506.5375,11955.36261905106
2024-04-04,1,3,13722.0,11763.959397923103
2024-04-05,1,3,14526.0,12770.48295962224
