Date,MealPeriod,RevenueCenterName,Revenue_forecast
2024-05-05,Dinner,RevenueCenter_2,307.61188
2024-05-06,Dinner,RevenueCenter_2,261.91678
2024-05-07,Dinner,RevenueCenter_2,232.70912
2024-05-08,Dinner,RevenueCenter_2,245.35072
2024-05-09,Dinner,RevenueCenter_2,284.9748
2024-05-10,Dinner,RevenueCenter_2,322.36008
2024-05-11,Dinner,RevenueCenter_2,375.94617
2024-05-12,Dinner,RevenueCenter_2,281.9143
2024-05-13,Dinner,RevenueCenter_2,246.07773
2024-05-14,Dinner,RevenueCenter_2,224.61732
2024-05-15,Dinner,RevenueCenter_2,241.34532
2024-05-16,Dinner,RevenueCenter_2,282.19434
2024-05-17,Dinner,RevenueCenter_2,321.16742
2024-05-18,Dinner,RevenueCenter_2,377.74136
2024-05-19,Dinner,RevenueCenter_2,283.5074
2024-05-20,Dinner,RevenueCenter_2,247.01033
2024-05-21,Dinner,RevenueCenter_2,225.72495
2024-05-22,Dinner,RevenueCenter_2,242.0372
2024-05-23,Dinner,RevenueCenter_2,282.95422
2024-05-24,Dinner,RevenueCenter_2,322.83856
2024-05-25,Dinner,RevenueCenter_2,381.0278
2024-05-26,Dinner,RevenueCenter_2,286.2559
2024-05-27,Dinner,RevenueCenter_2,249.01205
2024-05-28,Dinner,RevenueCenter_2,227.41121
2024-05-29,Dinner,RevenueCenter_2,242.89873
2024-05-30,Dinner,RevenueCenter_2,283.64633
2024-05-01,Dinner,RevenueCenter_3,13781.87
2024-05-02,Dinner,RevenueCenter_3,9297.706
2024-05-03,Dinner,RevenueCenter_3,11740.809
2024-05-04,Dinner,RevenueCenter_3,8113.5767
2024-05-05,Dinner,RevenueCenter_3,7572.049
2024-05-06,Dinner,RevenueCenter_3,7979.462
2024-05-07,Dinner,RevenueCenter_3,7857.677
2024-05-08,Dinner,RevenueCenter_3,7675.3213
2024-05-09,Dinner,RevenueCenter_3,7554.9966
2024-05-10,Dinner,RevenueCenter_3,6834.594
2024-05-11,Dinner,RevenueCenter_3,6821.3184
2024-05-12,Dinner,RevenueCenter_3,6777.377
2024-05-13,Dinner,RevenueCenter_3,7253.1924
2024-05-14,Dinner,RevenueCenter_3,7470.319
2024-05-15,Dinner,RevenueCenter_3,7571.6074
2024-05-16,Dinner,RevenueCenter_3,7497.462
2024-05-17,Dinner,RevenueCenter_3,6802.4995
2024-05-18,Dinner,RevenueCenter_3,6799.258
2024-05-19,Dinner,RevenueCenter_3,6755.67
2024-05-20,Dinner,RevenueCenter_3,7248.6777
2024-05-21,Dinner,RevenueCenter_3,7470.4062
2024-05-22,Dinner,RevenueCenter_3,7573.2905
2024-05-23,Dinner,RevenueCenter_3,7502.5576
2024-05-24,Dinner,RevenueCenter_3,6819.21
2024-05-25,Dinner,RevenueCenter_3,6812.873
2024-05-26,Dinner,RevenueCenter_3,6759.481
2024-05-27,Dinner,RevenueCenter_3,7259.5146
2024-05-28,Dinner,RevenueCenter_3,7484.6494
2024-05-29,Dinner,RevenueCenter_3,7583.4795
2024-05-30,Dinner,RevenueCenter_3,7511.8306
2024-05-01,Dinner,RevenueCenter_5,8202.118
2024-05-02,Dinner,RevenueCenter_5,7031.034
2024-05-03,Dinner,RevenueCenter_5,10572.488
2024-05-04,Dinner,RevenueCenter_5,6577.4385
2024-05-05,Dinner,RevenueCenter_5,6193.1416
2024-05-06,Dinner,RevenueCenter_5,6468.4
2024-05-07,Dinner,RevenueCenter_5,6712.8516
2024-05-08,Dinner,RevenueCenter_5,7154.705
2024-05-09,Dinner,RevenueCenter_5,6892.698
2024-05-10,Dinner,RevenueCenter_5,5926.331
2024-05-11,Dinner,RevenueCenter_5,5982.7495
2024-05-12,Dinner,RevenueCenter_5,5921.897
2024-05-13,Dinner,RevenueCenter_5,6232.237
2024-05-14,Dinner,RevenueCenter_5,6503.188
2024-05-15,Dinner,RevenueCenter_5,7021.791
2024-05-16,Dinner,RevenueCenter_5,6802.9805
2024-05-17,Dinner,RevenueCenter_5,5884.9414
2024-05-18,Dinner,RevenueCenter_5,5982.254
2024-05-19,Dinner,RevenueCenter_5,5908.6196
2024-05-20,Dinner,RevenueCenter_5,6193.7188
2024-05-21,Dinner,RevenueCenter_5,6459.093
2024-05-22,Dinner,RevenueCenter_5,6980.298
2024-05-23,Dinner,RevenueCenter_5,6763.546
2024-05-24,Dinner,RevenueCenter_5,5870.121
2024-05-25,Dinner,RevenueCenter_5,5975.337
2024-05-26,Dinner,RevenueCenter_5,5897.5293
2024-05-27,Dinner,RevenueCenter_5,6167.0674
2024-05-28,Dinner,RevenueCenter_5,6426.7856
2024-05-29,Dinner,RevenueCenter_5,6946.1694
2024-05-30,Dinner,RevenueCenter_5,6728.3066
2024-05-01,Dinner,RevenueCenter_6,271.64816
2024-05-02,Dinner,RevenueCenter_6,297.96426
2024-05-03,Dinner,RevenueCenter_6,313.15338
2024-05-04,Dinner,RevenueCenter_6,358.07996
2024-05-05,Dinner,RevenueCenter_6,279.03415
2024-05-06,Dinner,RevenueCenter_6,252.83769
2024-05-07,Dinner,RevenueCenter_6,237.7139
2024-05-08,Dinner,RevenueCenter_6,253.4682
2024-05-09,Dinner,RevenueCenter_6,277.29938
2024-05-10,Dinner,RevenueCenter_6,291.3452
2024-05-11,Dinner,RevenueCenter_6,338.96613
2024-05-12,Dinner,RevenueCenter_6,257.95026
2024-05-13,Dinner,RevenueCenter_6,233.93205
2024-05-14,Dinner,RevenueCenter_6,225.08302
2024-05-15,Dinner,RevenueCenter_6,245.6566
2024-05-16,Dinner,RevenueCenter_6,271.78848
2024-05-17,Dinner,RevenueCenter_6,287.02954
2024-05-18,Dinner,RevenueCenter_6,338.1458
2024-05-19,Dinner,RevenueCenter_6,255.82373
2024-05-20,Dinner,RevenueCenter_6,232.306
2024-05-21,Dinner,RevenueCenter_6,225.35661
2024-05-22,Dinner,RevenueCenter_6,246.823
2024-05-23,Dinner,RevenueCenter_6,273.3062
2024-05-24,Dinner,RevenueCenter_6,289.0793
2024-05-25,Dinner,RevenueCenter_6,341.79788
2024-05-26,Dinner,RevenueCenter_6,258.30103
2024-05-27,Dinner,RevenueCenter_6,234.12283
2024-05-28,Dinner,RevenueCenter_6,227.58698
2024-05-29,Dinner,RevenueCenter_6,249.22633
